City,Temperature (f),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Al Bardīyah,81.77,31.76,25.09,53,0,13.53
Walla Walla,57.36,46.06,-118.34,44,1,11.41
Kalmunai,91.42,7.42,81.82,56,100,9.51
Goderich,62.44,43.75,-81.72,74,0,3.15
Ushuaia,30.2,-54.8,-68.3,86,40,6.93
Turtucaia,70.66,44.05,26.62,58,1,7.85
Torbat-e Jām,97.86,35.24,60.62,12,0,12.33
Codrington,50.59,-38.27,141.97,79,78,6.69
Vaasa,55.67,63.1,21.62,71,0,2.24
Hilo,67.17,19.73,-155.09,78,90,5.82
Novyi Yarychiv,64.4,49.9,24.31,68,75,6.71
Westport,69.22,41.14,-73.36,69,1,6.93
Saint-Philippe,73.62,-21.36,55.77,61,40,4.7
Albany,65.91,42.6,-73.97,97,0,5.61
San-Pédro,75.45,4.75,-6.64,83,100,9.82
Chui,35.94,-33.7,-53.46,81,0,11.1
Gallup,71.55,35.53,-108.74,28,1,5.82
East London,57.2,-33.02,27.91,41,0,17.22
Nushki,101.91,29.55,66.02,13,0,9.24
Cabo San Lucas,82.0,22.89,-109.91,67,1,1.99
Atuona,79.54,-9.8,-139.03,79,4,18.25
Dhidhdhoo,84.97,6.88,73.1,69,73,6.64
Leh,68.13,34.17,77.58,22,4,8.08
Rikitea,72.43,-23.12,-134.97,84,100,17.09
Cape Town,50.81,-33.93,18.42,66,75,2.24
Hammelburg,65.66,50.12,9.9,61,75,3.49
Jinxiang,90.27,22.86,115.7,67,1,16.58
Taoudenni,102.83,22.68,-3.98,9,0,4.76
Yerbogachën,79.23,61.28,108.01,44,47,2.42
Thompson,60.8,55.74,-97.86,93,90,4.7
Qaanaaq,40.06,77.48,-69.36,77,94,3.2
Punta Arenas,33.39,-53.15,-70.92,87,68,3.36
Mackay,61.02,-21.15,149.2,52,25,8.05
George,44.6,-33.96,22.46,87,40,20.8
Sawtell,60.13,-30.38,153.1,59,90,10.29
Touros,68.0,-5.2,-35.46,94,3,3.36
Kapaa,72.55,22.08,-159.32,88,90,19.46
Dikson,39.15,73.51,80.55,95,100,13.89
Arrondissement de Lannion,60.8,48.75,-3.42,93,90,5.82
Upernavik,40.37,72.79,-56.15,88,100,22.84
Tasiilaq,42.8,65.61,-37.64,81,0,8.05
Seryshevo,91.96,51.09,128.38,39,39,8.66
New Norfolk,45.27,-42.78,147.06,82,11,1.3
Butaritari,81.19,3.07,172.79,77,100,12.73
Labuhan,85.01,-6.88,112.21,70,21,11.54
Gewanē,92.28,10.17,40.65,32,65,14.23
Tuktoyaktuk,48.02,69.45,-133.04,64,0,10.36
Oranjemund,55.49,-28.55,16.43,66,11,7.76
Hobart,47.52,-42.88,147.33,76,75,5.82
Hermanus,48.0,-34.42,19.23,85,69,14.38
Flin Flon,54.37,54.77,-101.86,84,95,8.43
Marsh Harbour,82.85,26.54,-77.06,79,86,11.95
Pacific Grove,56.97,36.62,-121.92,82,90,5.82
Cherskiy,56.61,68.75,161.3,49,100,13.49
Batticaloa,88.52,7.71,81.69,60,98,8.25
Aberdeen,55.67,57.14,-2.1,66,20,8.05
Örnsköldsvik,59.0,63.29,18.72,62,40,5.82
Kavaratti,82.4,10.57,72.64,88,90,9.17
Hobyo,84.31,5.35,48.53,60,100,24.27
Port Alfred,55.22,-33.59,26.89,59,85,34.63
Acapulco de Juárez,79.12,16.86,-99.89,78,0,4.05
Lagoa,67.95,39.05,-27.98,78,38,6.89
Saldanha,48.2,-33.01,17.94,87,9,2.24
Terney,64.72,45.05,136.61,78,83,4.38
Santander,66.49,43.46,-3.8,82,100,6.93
Oakham,60.39,52.67,-0.73,87,75,6.93
Arraial do Cabo,71.56,-22.97,-42.03,73,0,7.72
Anadyr,50.0,64.75,177.48,87,75,8.95
Avarua,69.8,-21.21,-159.78,60,100,5.82
Mataura,42.98,-46.19,168.86,92,100,3.11
Mezen',56.64,65.85,44.24,91,100,5.99
San Quintín,68.27,30.48,-115.95,84,68,11.88
Tiksi,41.34,71.69,128.87,86,98,5.7
Bud,62.26,39.45,-86.18,97,0,2.62
Mucurapo,78.75,10.67,-61.53,88,20,5.77
São João da Barra,70.0,-21.64,-41.05,71,3,8.55
Jamestown,58.44,42.1,-79.24,87,75,4.7
Canmore,47.08,51.08,-115.35,70,20,6.93
Olafsvik,51.71,64.89,-23.71,85,100,4.81
Fortuna,51.94,40.6,-124.16,93,90,1.63
Puerto Ayora,66.99,-0.74,-90.35,93,44,6.64
Saint George,90.48,37.1,-113.58,16,1,8.05
Yangi Marg`ilon,89.6,40.43,71.72,27,0,9.17
Tiznit Province,79.14,29.58,-9.5,46,0,3.71
Paamiut,40.68,61.99,-49.67,93,8,14.14
Te Anau,39.54,-45.42,167.72,88,79,2.01
Terrace,52.52,54.52,-128.6,80,93,1.68
